filename,target_npz,runtime,best_loss,best_popsize,loss_name,gt_loss,nmse,gt_available,mu,D_div_mu,T0_div_mu,Ly,op_x,op_y,gt_mu,gt_D_div_mu,gt_T0_div_mu,gt_Ly,gt_op_x,gt_op_y
random_IR_0085.npz,random_IR_0085.npz,178.999,0.00011449,57,L1_STFT,8.86e-06,0.00326883,True,74.91422224,16.76972896,8.28343009,1.27712455,0.76918319,0.65918279,89.43983679,16.76980615,8.27244934,1.27712776,0.76918057,0.65917872
random_IR_0086.npz,random_IR_0086.npz,340.849,0.00014214,56,L1_STFT,1.305e-05,0.00513702,True,41.57292854,12.11551821,20.14795465,3.99409008,0.59559662,0.67071315,23.36360599,12.11543418,20.14476031,3.99409053,0.59558261,0.67071412
random_IR_0087.npz,random_IR_0087.npz,500.98,0.00011471,39,L1_STFT,9.53e-06,0.11409789,True,100.11220031,1.35060404,42.48366488,3.0730147,0.62681431,0.76211008,14.29448782,1.35060818,42.48164111,3.07301113,0.62682251,0.76211124
random_IR_0088.npz,random_IR_0088.npz,415.94,0.00017112,52,L1_STFT,8.13e-06,0.00096488,True,66.32177418,3.00161943,5.77468049,2.16700047,0.55743062,0.67826165,58.42999038,3.00162826,5.77586963,2.16698998,0.55743394,0.67826195
random_IR_0089.npz,random_IR_0089.npz,292.421,0.4032754,31,L1_STFT,1.342e-05,0.10017874,True,5.61538464,7.30634933,0.24498906,2.87018299,0.69042378,0.82513814,77.15790238,6.69577706,5.14869848,2.81397801,0.86348927,0.82241552
random_IR_0090.npz,random_IR_0090.npz,253.261,0.00025245,56,L1_STFT,1.127e-05,0.0551636,True,22.74967893,22.12245041,10.80049387,3.45785962,0.67443984,0.58236082,82.42083212,22.1223587,10.79575073,3.4578562,0.6743941,0.58236593
random_IR_0091.npz,random_IR_0091.npz,288.371,0.000213,58,L1_STFT,3.305e-05,0.03526834,True,71.80278716,5.20774977,17.93866079,1.28164599,0.97978831,0.56748954,24.09045298,5.20775075,17.94433499,1.28164441,0.97978305,0.56748704
random_IR_0092.npz,random_IR_0092.npz,231.707,0.00015865,49,L1_STFT,3.489e-05,0.02122661,True,24.70326743,11.4702893,12.05242493,1.41031209,0.9918782,0.70590352,61.71832509,11.47027285,12.07746028,1.41031201,0.99187886,0.70590283
random_IR_0093.npz,random_IR_0093.npz,332.068,0.00036369,42,L1_STFT,1.258e-05,0.01111718,True,50.30157726,3.02923985,29.12849158,2.20297064,0.55763391,0.75391408,23.51387388,3.02936182,29.12908323,2.20297203,0.55765642,0.75391068
random_IR_0094.npz,random_IR_0094.npz,680.41,0.00012935,54,L1_STFT,7.42e-06,0.00349461,True,21.53352971,1.40410204,4.6237552,2.78514801,0.7405974,0.5667609,36.5524169,1.40408792,4.62441967,2.7851376,0.74060424,0.56675866
random_IR_0095.npz,random_IR_0095.npz,276.788,0.00015641,56,L1_STFT,1.124e-05,0.06526736,True,26.32723635,9.85629302,4.63646208,2.4254766,0.64290987,0.70785765,91.2334319,9.85617887,4.6442637,2.42547041,0.64291352,0.70785844
random_IR_0096.npz,random_IR_0096.npz,218.612,0.00021232,33,L1_STFT,1.152e-05,0.00050804,True,52.68486213,12.5543909,5.91149306,2.2594554,0.70560506,0.7215651,58.41135303,12.55443139,5.90167257,2.25945521,0.70558896,0.72156246
random_IR_0097.npz,random_IR_0097.npz,572.416,0.00015469,35,L1_STFT,1.086e-05,0.01497228,True,49.92404924,1.76352985,43.66343181,2.88213441,0.77308536,0.56413529,18.83681002,1.76351773,43.65964903,2.88213033,0.77309227,0.56413378
random_IR_0098.npz,random_IR_0098.npz,174.409,0.00029455,40,L1_STFT,1.188e-05,0.03205383,True,53.33233579,36.69619044,40.81457861,2.27460066,0.56380228,0.80709326,7.84630584,36.69597725,40.91731655,2.27460328,0.56379438,0.80709099
random_IR_0099.npz,random_IR_0099.npz,221.569,0.00014498,54,L1_STFT,1.19e-05,0.10996884,True,99.72375273,50.84980348,61.93807768,3.13933165,0.52430821,0.77211001,15.47316203,50.84996985,61.9875019,3.13933074,0.52430322,0.77210926
random_IR_0100.npz,random_IR_0100.npz,252.432,0.00019446,57,L1_STFT,1.437e-05,0.00110654,True,10.1683606,9.91343986,19.59663401,2.27230521,0.76390243,0.92296356,18.61961113,9.91349174,19.60869234,2.27230649,0.76389341,0.92296066
